Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE4901	0	0	0	0	0	0	0	0	0	0	6558469.5	5470739
AIPGENE4903	0	17136226	36601716	0	0	0	30131602	37499264	38523830	29256332	24997624	47572400
AIPGENE4933	9342981	27913306	34690250	12466264	0	0	0	5354904.5	4547349	22868764	26516876	13853491
AIPGENE4954	0	0	49356536	19830360	11499056	26704660	362227520	319693700	209675400	294109300	338732900	236660860
AIPGENE5025	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE505	0	0	0	0	0	0	3091581.8	0	0	0	7092900.5	0
AIPGENE51	0	0	0	0	0	0	36522560	12206608	32389520	42013230	23099054	22542054
AIPGENE510	0	0	0	0	0	0	7371324.5	9249768	9725106	0	0	0
AIPGENE5103	0	0	19993674	0	0	0	0	0	0	0	0	0
AIPGENE5117	0	0	0	0	0	0	0	0	5041704.5	4326633.5	0	0
AIPGENE5126	0	0	0	0	0	0	3837924	0	5283607	6091110	0	0
AIPGENE5130	15090808	37777492	36912916	0	8104178.5	9920489	85843700	86288584	113690210	114007190	121612500	141497870
AIPGENE5145	0	0	0	0	0	0	8637276	8851437	9607991	0	4976225	5663988
AIPGENE5160	0	0	0	0	0	0	27986598	29574796	31316964	18486524	26572930	14773758
AIPGENE5162	0	0	0	0	0	0	16109466	18573458	42962780	67810620	51572630	61511884
AIPGENE5163	0	0	0	0	0	0	7604122.5	0	0	0	0	0
AIPGENE5165	374352260	436807260	670630500	420511580	278063420	315538980	514821280	549406700	502934000	730287200	545229440	499810940
AIPGENE5166	0	0	0	0	0	0	14800074	17442602	17722786	19335154	28476980	4954243
AIPGENE5172	22859966	19207372	54303400	21535334	14204803	18882356	0	14155932	16935224	23674396	20578822	17155592
