GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0043538	regulation of actin phosphorylation	1	1	0.06	0.05550
GO:2000705	regulation of dense core granule biogenesis	1	1	0.06	0.05550
GO:2001017	regulation of retrograde axon cargo transport	1	1	0.06	0.05550
GO:0006463	steroid hormone receptor complex assembly	1	1	0.06	0.05550
GO:2001033	negative regulation of double-strand break repair via nonhomologous end joining	1	1	0.06	0.05550
GO:0031887	lipid droplet transport along microtubule	1	1	0.06	0.05550
GO:0070934	CRD-mediated mRNA stabilization	1	1	0.06	0.05550
GO:0051237	maintenance of RNA location	1	1	0.06	0.05550
GO:0071286	cellular response to magnesium ion	1	1	0.06	0.05550
GO:0006422	aspartyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006424	glutamyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006425	glutaminyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006426	glycyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0036111	very long-chain fatty-acyl-CoA metabolic process	1	1	0.06	0.05550
GO:0006430	lysyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006433	prolyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006435	threonyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006437	tyrosyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0006438	valyl-tRNA aminoacylation	1	1	0.06	0.05550
GO:0033609	oxalate metabolic process	1	1	0.06	0.05550
GO:0048733	sebaceous gland development	1	1	0.06	0.05550
GO:0021589	cerebellum structural organization	1	1	0.06	0.05550
GO:0035191	nuclear axial expansion	1	1	0.06	0.05550
GO:0006168	adenine salvage	1	1	0.06	0.05550
GO:0006169	adenosine salvage	1	1	0.06	0.05550
GO:0032688	negative regulation of interferon-beta production	1	1	0.06	0.05550
GO:0046294	formaldehyde catabolic process	1	1	0.06	0.05550
GO:0007279	pole cell formation	1	1	0.06	0.05550
GO:1901194	negative regulation of formation of translation preinitiation complex	1	1	0.06	0.05550
GO:0009051	pentose-phosphate shunt, oxidative branch	1	1	0.06	0.05550
GO:2000543	positive regulation of gastrulation	1	1	0.06	0.05550
GO:0021691	cerebellar Purkinje cell layer maturation	1	1	0.06	0.05550
GO:1901170	naphthalene catabolic process	1	1	0.06	0.05550
GO:0010030	positive regulation of seed germination	1	1	0.06	0.05550
GO:2000685	positive regulation of cellular response to X-ray	1	1	0.06	0.05550
GO:0040003	chitin-based cuticle development	1	1	0.06	0.05550
GO:2000641	regulation of early endosome to late endosome transport	1	1	0.06	0.05550
GO:0000056	ribosomal small subunit export from nucleus	1	1	0.06	0.05550
GO:0006788	heme oxidation	1	1	0.06	0.05550
GO:0019322	pentose biosynthetic process	1	1	0.06	0.05550
GO:0006738	nicotinamide riboside catabolic process	1	1	0.06	0.05550
GO:0019307	mannose biosynthetic process	1	1	0.06	0.05550
GO:0046832	negative regulation of RNA export from nucleus	1	1	0.06	0.05550
GO:0015862	uridine transport	1	1	0.06	0.05550
GO:0019491	ectoine biosynthetic process	1	1	0.06	0.05550
GO:0051683	establishment of Golgi localization	1	1	0.06	0.05550
GO:0009397	folic acid-containing compound catabolic process	1	1	0.06	0.05550
