Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE18845	0	0	0	0	0	0	10256373	7550164.5	9073839	0	22352426	18083364
AIPGENE18868	0	0	0	0	0	0	0	0	0	0	2886795.5	0
AIPGENE18869	0	0	0	0	0	0	6671997.5	0	5364353.5	12630344	2487211	0
AIPGENE18889	0	0	0	0	0	0	261215708	434606408	384883190	377204084	362071152	351167540
AIPGENE18891	43308488	122917716	199837196	17135148	4606663	33721906.5	84538884	93043798	42722793.4	34935414.1	106721714	57942645
AIPGENE18892	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18909	0	0	0	0	0	0	13457819	0	16052419	23401190	3806740.2	0
AIPGENE18918	0	0	0	0	0	0	25279380	7058415	17071949	22166346	30505747	0
AIPGENE18919	34400960.5	26225410	88761657	13889598	10840323	19144882	2382010832.2	2992388254.7	2245015136.4	2447778374.5	1923971808	1809467177
AIPGENE18924	0	0	0	0	0	0	10120380	6783509.3	35120350	20609947	14932602.8	0
AIPGENE18930	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18974	0	0	0	0	0	0	12158982	3295294.5	0	4309357	9854611	18618515
AIPGENE18985	0	0	0	0	0	0	4966121.75	4498119.5	2799346.5	2214261.8	2011450.4	0
AIPGENE1900	28029336	13838276	10723167	8792271	0	0	85744218.2	43800977.6	52091079	74195598.5	70777962.5	45244840
AIPGENE19036	0	0	0	0	0	0	14062485	7769010.5	1443351.5	0	7653923	0
AIPGENE19053	0	0	0	0	0	0	12110742	9088119	0	10016165	0	0
AIPGENE19064	0	0	0	0	0	0	17461273.3	12805786	29372442	30117505	11489116	11192646
AIPGENE19067	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE19069	0	0	0	0	0	0	21311774	17252909.5	28837450.5	38489491	29836257	14893306.5
AIPGENE19082	51839780	60323570	80782444	27286760	25643269	36270180.2	19189656.3	15903513.8	11862262	15124862	20807999	28314952
AIPGENE19097	0	8679317	0	0	0	0	7880687	0	0	7469707.5	9887162	0
AIPGENE19101	0	0	14539459	0	0	0	147594859	136597326	179887068	230111184.5	159435942.2	118714030
AIPGENE19102	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE19103	0	0	0	0	0	0	4327813.5	11847750	29183456.5	0	0	3375155.2
AIPGENE19104	0	0	0	0	0	0	0	0	0	0	3461138.5	0
AIPGENE19105	21191360	0	31634250	14019128	0	15203489	67797760	76507400	67192900	56670788	69513200	81113480
AIPGENE19114	0	0	0	0	0	0	30078604	39098280.5	0	100281175	14442868	0
AIPGENE19125	0	0	0	0	0	0	77426899	85008677.5	157214953	101425441	93941311	64302166
